Month,PersonA_Total,PersonA_Lower,PersonA_Upper,PersonB_Total,PersonB_Lower,PersonB_Upper,PersonC_Total,PersonC_Lower,PersonC_Upper
2025-01,102000,102000,102000,150000,150000,150000,200000,200000,200000
2025-02,102835,102718,102941,151771,151507,152039,203364,202982,203770
2025-03,103679,103511,103843,153543,153180,153912,206769,206229,207299
2025-04,104527,104322,104726,155342,154903,155788,210251,209508,211007
2025-05,105382,105155,105610,157168,156661,157660,213799,212964,214697
2025-06,106237,105979,106476,159032,158451,159621,217378,216439,218355
2025-07,107108,106812,107388,160893,160270,161531,221002,219928,222025
2025-08,107980,107646,108303,162782,162116,163468,224742,223569,225865
2025-09,108865,108511,109214,164696,163975,165459,228490,227132,229747
2025-10,109760,109380,110141,166649,165854,167437,232360,230987,233694
2025-11,110654,110259,111064,168628,167742,169515,236261,234849,237745
2025-12,111568,111172,111995,170606,169706,171574,240208,238625,241789
2026-01,112475,112035,112913,172632,171704,173651,244193,242548,245879
2026-02,113402,112916,113868,174660,173666,175735,248284,246552,249985
2026-03,114337,113841,114825,176721,175683,177750,252418,250526,254248
2026-04,115270,114733,115761,178807,177754,179914,256637,254688,258588
2026-05,116216,115654,116762,180908,179782,182045,260914,258849,262946
2026-06,117170,116611,117722,183020,181864,184196,265277,263080,267535
2026-07,118132,117540,118694,185184,183972,186408,269745,267482,271993
2026-08,119101,118519,119695,187379,186166,188615,274287,271877,276618
2026-09,120076,119477,120668,189563,188307,190876,278913,276402,281409
2026-10,121056,120436,121686,191827,190567,193193,283613,281068,286231
2026-11,122056,121397,122690,194091,192714,195432,288309,285620,290989
2026-12,123060,122379,123735,196359,194957,197865,293142,290454,295773
2027-01,124067,123349,124751,198668,197264,200179,298008,295242,300853
2027-02,125087,124359,125796,200990,199450,202571,302997,300074,305861
2027-03,126112,125377,126814,203362,201779,205016,308061,305059,311174
2027-04,127151,126420,127871,205762,204003,207477,313236,310126,316347
2027-05,128197,127443,128963,208192,206359,210053,318447,315181,321769
2027-06,129230,128483,129955,210635,208731,212490,323774,320278,327311
2027-07,130296,129508,131065,213103,211180,215076,329202,325604,332742
2027-08,131353,130536,132153,215621,213630,217716,334734,331040,338348
2027-09,132432,131599,133258,218128,216127,220206,340338,336547,344166
2027-10,133515,132680,134349,220718,218669,222877,346056,342112,349987
2027-11,134622,133739,135486,223336,221174,225529,351867,347789,355913
2027-12,135722,134825,136575,225970,223796,228147,357767,353459,361936
2028-01,136831,135922,137747,228624,226434,230814,363828,359702,368240
2028-02,137966,137018,138918,231339,229046,233677,369940,365799,374404
2028-03,139106,138154,140060,234057,231684,236425,376187,371720,380822
2028-04,140241,139227,141226,236816,234347,239222,382500,378079,387319
2028-05,141393,140352,142382,239611,237133,242086,388839,384344,393812
2028-06,142535,141485,143568,242463,240058,245030,395418,390761,400346
2028-07,143696,142628,144769,245333,242792,247937,402063,397353,407007
2028-08,144859,143757,145889,248248,245618,250990,408797,403622,414296
2028-09,146043,144877,147114,251171,248526,254019,415684,410569,421146
2028-10,147240,146112,148385,254131,251501,256970,422619,417262,428160
2028-11,148449,147261,149555,257136,254497,260163,429705,424043,435569
2028-12,149667,148474,150803,260162,257427,263300,436823,431000,442389
2029-01,150901,149663,152008,263228,260300,266452,444082,438184,450037
2029-02,152127,150896,153297,266341,263442,269541,451543,445567,457640
2029-03,153374,152112,154601,269473,266439,272855,459070,453016,465337
2029-04,154636,153390,155864,272632,269470,276035,466805,460456,473323
2029-05,155908,154629,157120,275821,272604,279314,474720,468384,481351
2029-06,157189,155900,158454,279079,275913,282466,482609,476053,489266
2029-07,158473,157146,159745,282337,279033,285847,490675,483591,497764
2029-08,159769,158386,161095,285644,282188,289398,498991,491830,506420
2029-09,161086,159678,162409,288987,285280,292517,507339,499769,514763
2029-10,162391,160989,163779,292387,288788,296091,515852,508100,523481
2029-11,163735,162312,165169,295811,292054,299526,524494,516602,532208
2029-12,165081,163594,166517,299264,295529,302863,533322,525540,541333
2030-01,166431,164888,167859,302762,299012,306469,542136,534020,550395
