Month,PersonA_Total,PersonA_Lower,PersonA_Upper,PersonB_Total,PersonB_Lower,PersonB_Upper,PersonC_Total,PersonC_Lower,PersonC_Upper
2033-05,230890,228283,233278,482817,474770,491151,1053143,1031918,1075066
2033-06,232783,230197,235243,488475,480484,497006,1070739,1049226,1093283
2033-07,234702,232120,237265,494235,486087,502846,1088577,1065461,1111726
2033-08,236613,233983,239307,500066,491595,509014,1106812,1083618,1130986
2033-09,238547,235913,241349,505954,497469,515059,1125576,1102000,1149462
2033-10,240493,237814,243299,511908,503232,521492,1144579,1120029,1168692
2033-11,242463,239718,245353,517888,509095,527534,1163734,1138983,1189505
2033-12,244464,241700,247345,523986,514894,533623,1183178,1157051,1209413
2034-01,246465,243616,249441,530155,520975,540343,1202971,1177011,1229847
2034-02,248468,245562,251474,536436,526926,546468,1223171,1196795,1250391
2034-03,250524,247606,253448,542794,533198,552942,1243528,1216356,1272116
2034-04,252568,249543,255582,549227,539503,559483,1264441,1236555,1293175
2034-05,254639,251636,257656,555785,545923,566137,1285440,1255791,1314706
2034-06,256719,253721,259780,562329,552277,572995,1307079,1278290,1336756
2034-07,258834,255746,261920,568908,558955,579544,1328817,1298905,1358805
2034-08,260962,257929,264099,575634,565425,586285,1350977,1320490,1381998
2034-09,263080,259981,266143,582380,572284,593109,1373741,1342866,1406484
2034-10,265245,262160,268510,589256,578771,600655,1396754,1365600,1429768
2034-11,267436,264382,270608,596239,585641,607623,1420221,1387047,1454010
2034-12,269613,266510,272739,603269,592818,614538,1443971,1411451,1478266
2035-01,271815,268663,274972,610443,599213,622164,1468298,1435032,1501930
