Month,PersonA_Total,PersonA_Lower,PersonA_Upper,PersonB_Total,PersonB_Lower,PersonB_Upper,PersonC_Total,PersonC_Lower,PersonC_Upper
2025-01,102000,102000,102000,150000,150000,150000,200000,200000,200000
2025-02,102838,102726,102954,151739,151482,151991,203371,202994,203768
2025-03,103677,103516,103851,153527,153182,153873,206768,206196,207351
2025-04,104528,104314,104743,155340,154907,155746,210218,209545,210904
2025-05,105380,105148,105613,157167,156666,157655,213731,212917,214470
2025-06,106245,106010,106504,159010,158447,159590,217310,216346,218234
2025-07,107123,106834,107414,160891,160266,161578,220941,219857,222029
2025-08,108001,107677,108310,162773,162044,163525,224604,223422,225798
2025-09,108889,108563,109236,164696,163909,165506,228346,226987,229707
2025-10,109783,109419,110136,166650,165833,167467,232153,230767,233621
2025-11,110689,110309,111057,168587,167736,169452,236047,234648,237536
2025-12,111602,111229,111987,170558,169650,171456,240042,238507,241610
2026-01,112521,112112,112931,172563,171592,173517,244053,242432,245755
2026-02,113444,112994,113883,174602,173572,175625,248147,246291,250017
2026-03,114369,113901,114844,176656,175573,177748,252283,250427,254248
2026-04,115312,114800,115802,178717,177634,179864,256483,254495,258523
2026-05,116255,115739,116771,180812,179743,181999,260792,258782,262766
2026-06,117210,116685,117748,182949,181722,184197,265130,263027,267341
2026-07,118175,117634,118729,185126,183829,186392,269546,267331,271824
2026-08,119138,118554,119710,187301,185975,188604,274072,271725,276440
2026-09,120111,119535,120662,189514,188174,190905,278652,276184,281133
2026-10,121098,120510,121705,191743,190308,193184,283328,280727,286087
2026-11,122103,121481,122723,193983,192478,195451,288078,285383,290843
2026-12,123092,122439,123737,196270,194778,197672,292893,290008,295822
2027-01,124094,123428,124795,198552,197019,200060,297787,294900,300802
2027-02,125110,124437,125794,200878,199179,202515,302755,299775,305983
2027-03,126131,125439,126854,203232,201473,204988,307805,304611,311138
2027-04,127166,126458,127889,205599,203798,207355,312992,309612,316267
2027-05,128208,127498,128975,207989,206141,209746,318260,314893,321650
2027-06,129264,128541,130035,210455,208529,212363,323562,320238,327164
2027-07,130329,129547,131085,212929,210963,214759,329012,325581,332776
2027-08,131412,130614,132196,215425,213424,217308,334518,330886,338483
2027-09,132482,131658,133256,217975,216022,220084,340116,336242,344029
2027-10,133573,132718,134362,220538,218554,222665,345798,342008,349841
2027-11,134663,133822,135473,223104,220981,225384,351593,347664,355773
2027-12,135763,134912,136545,225757,223578,228062,357489,353362,361637
2028-01,136876,135964,137727,228430,226191,230776,363491,359225,367791
2028-02,138009,137084,138912,231094,228794,233510,369563,364981,373693
2028-03,139147,138169,140053,233797,231453,236331,375798,371037,380276
2028-04,140284,139312,141194,236578,234195,239116,382160,377287,387026
2028-05,141436,140458,142367,239386,236936,242004,388569,383556,393190
2028-06,142593,141579,143562,242232,239623,244818,395124,389953,399820
2028-07,143742,142698,144705,245066,242413,247730,401715,396364,406757
2028-08,144921,143893,145931,247945,245137,250713,408460,403279,413936
2028-09,146107,145044,147132,250855,247938,253686,415306,409833,420840
2028-10,147313,146253,148377,253816,250965,256722,422261,416602,427993
2028-11,148531,147436,149610,256816,253965,259745,429328,423324,434971
2028-12,149755,148609,150876,259822,256981,262744,436478,430211,442314
2029-01,150985,149865,152110,262887,259968,265877,443782,437409,449944
2029-02,152225,151091,153390,266016,262928,268883,451258,444803,457515
2029-03,153482,152276,154658,269140,266095,272281,458823,452305,465155
2029-04,154742,153537,155910,272288,269094,275424,466474,459852,473107
2029-05,156021,154842,157236,275556,272196,278904,474266,467471,480845
2029-06,157307,156061,158539,278784,275469,282113,482286,475052,489087
2029-07,158603,157362,159876,282097,278679,285608,490338,482945,497051
2029-08,159887,158629,161210,285411,281888,288997,498553,491195,505411
2029-09,161204,159896,162485,288746,285147,292382,507032,499472,514231
2029-10,162528,161125,163856,292165,288454,295971,515549,507563,523418
2029-11,163863,162462,165199,295635,291907,299465,524190,516255,531840
2029-12,165201,163773,166578,299114,295220,303016,532932,524457,540938
2030-01,166572,165102,167986,302654,298634,306563,541792,533245,550161
2030-02,167940,166437,169402,306179,302126,310159,550835,541988,559154
2030-03,169337,167773,170826,309756,305595,313643,560101,551352,568447
2030-04,170727,169233,172230,313403,309182,317493,569475,560430,578217
2030-05,172130,170581,173665,317081,312915,321172,579086,570076,587898
2030-06,173546,172069,175079,320831,316553,324930,588754,579427,597953
2030-07,174978,173491,176530,324601,320299,328846,598636,588956,607988
2030-08,176411,174811,177986,328417,323851,332804,608679,598818,618207
2030-09,177854,176227,179458,332261,327603,336574,618899,608752,629034
2030-10,179305,177610,180912,336179,331475,340642,629166,618858,639132
2030-11,180778,179085,182430,340140,335419,344628,639773,629016,650264
2030-12,182269,180590,183900,344188,339469,348864,650354,639918,660879
2031-01,183744,182104,185399,348249,343478,352927,661378,649940,672304
2031-02,185246,183493,186968,352348,347506,357191,672454,660247,683864
2031-03,186764,184985,188549,356476,351680,361335,683805,672223,695528
2031-04,188289,186504,190138,360694,355739,365792,695199,683025,707377
2031-05,189837,188014,191679,364898,359874,370245,706736,694268,719177
2031-06,191383,189520,193218,369191,364021,374685,718711,706038,731635
2031-07,192944,191138,194791,373518,368080,379182,730648,717364,743379
2031-08,194520,192599,196306,377880,372402,383692,742990,729593,756728
2031-09,196122,194192,197924,382272,376760,387996,755421,741768,769032
2031-10,197723,195728,199643,386768,381116,392501,767951,754264,781897
2031-11,199330,197266,201257,391336,385453,397066,780778,766489,794593
2031-12,200941,198898,202898,395895,389983,402061,793929,779444,808025
2032-01,202580,200508,204556,400535,394579,406634,807316,792224,821919
2032-02,204247,202183,206262,405230,399277,411401,820779,805226,835438
2032-03,205915,203796,207890,410029,403784,416557,834494,818940,849656
2032-04,207594,205402,209652,414835,408617,421248,848474,832608,864195
2032-05,209297,207087,211442,419741,413313,426282,862646,846459,878903
2032-06,211024,208793,213202,424664,418270,431251,877149,860574,893767
2032-07,212759,210499,214971,429657,423054,436219,891829,874952,909005
2032-08,214502,212169,216760,434711,427893,441733,906747,889569,924299
2032-09,216272,213870,218575,439779,432933,446945,921987,904439,939454
2032-10,218056,215614,220258,444935,437842,452149,937402,919662,955568
2032-11,219836,217348,222176,450146,443018,457467,953071,935124,971475
2032-12,221630,219152,223993,455448,448056,462945,969018,950661,988517
2033-01,223467,220934,225790,460781,453084,468350,985313,966024,1005158
2033-02,225310,222833,227585,466136,458314,473985,1001891,982151,1021681
2033-03,227144,224680,229501,471595,463767,479543,1018759,998532,1039490
2033-04,229007,226449,231344,477184,468989,485306,1035736,1014843,1056979
